Frequency,Absorbance
0.88386,0.06919
0.88386,0.06248
0.89516,0.0759
0.90323,0.06584
0.90323,0.05997
0.91291,0.07758
0.91291,0.07087
0.92259,0.06332
0.93227,0.0759
0.93227,0.06919
0.94195,0.06248
0.95164,0.0759
0.95164,0.06919
0.96293,0.08261
0.96132,0.06416
0.971,0.07255
0.9823,0.09267
0.98068,0.08429
0.98068,0.07842
1.00005,0.09603
1.00005,0.08932
1.00005,0.08261
1.01941,0.09603
1.01941,0.08932
1.01941,0.08261
1.04039,0.09603
1.03878,0.08764
1.03394,0.08261
1.05975,0.10609
1.05814,0.09771
1.05814,0.091
1.0533,0.08596
1.07912,0.1128
1.07751,0.10441
1.07751,0.09854
1.09687,0.11951
1.09687,0.1128
1.09687,0.10693
1.09203,0.10106
1.11623,0.11951
1.11623,0.1128
1.11623,0.10777
1.13721,0.12286
1.1356,0.11448
1.1356,0.10861
1.15496,0.13293
1.15496,0.12622
1.15496,0.11951
1.15012,0.11448
1.17594,0.13628
1.17433,0.1279
1.16949,0.12286
1.19531,0.13964
1.19369,0.13125
1.18885,0.1279
1.19853,0.12286
1.21306,0.14299
1.21306,0.13628
1.21306,0.13041
1.23403,0.14635
1.23242,0.13796
1.22758,0.13293
1.2534,0.15641
1.25179,0.14802
1.25179,0.14215
1.27115,0.16312
1.27115,0.15641
1.27115,0.15054
1.29051,0.16647
1.29051,0.15976
1.29051,0.15473
1.31149,0.16647
1.30504,0.15976
1.33086,0.17654
1.32924,0.16815
1.3244,0.16312
1.35022,0.18325
1.34861,0.17486
1.34377,0.17151
1.36797,0.18996
1.36797,0.18325
1.36313,0.17821
1.38734,0.19331
1.38734,0.1866
1.3825,0.18157
1.39702,0.20002
1.40831,0.19387
1.40186,0.18828
1.41638,0.20337
1.42768,0.21008
1.42768,0.19722
1.44543,0.21679
1.44543,0.21008
1.44543,0.20337
1.46641,0.22015
1.46479,0.2126
1.45995,0.20673
1.46479,0.2017
1.48577,0.2235
1.48416,0.21595
1.47932,0.2017
1.50514,0.23356
1.50352,0.22518
1.50352,0.21847
1.50352,0.2126
1.49868,0.20841
1.52289,0.23692
1.52289,0.23021
1.51805,0.2235
1.53418,0.24363
1.54225,0.23692
1.55193,0.25034
1.55193,0.24363
1.57291,0.25369
1.5713,0.24614
1.56646,0.24195
1.59228,0.2604
1.59066,0.25201
1.58582,0.24866
1.61164,0.27046
1.61003,0.26208
1.60519,0.25705
1.62939,0.27717
1.62939,0.27046
1.62455,0.26376
1.64069,0.28388
1.64391,0.27382
1.66005,0.29059
1.65844,0.28221
1.6536,0.27885
1.67942,0.2973
1.6778,0.28975
1.67296,0.28556
1.69878,0.30736
1.69717,0.29898
1.69233,0.29395
1.69233,0.28891
1.71653,0.31743
1.71653,0.31072
1.71653,0.30485
1.71169,0.29898
1.72783,0.32414
1.7359,0.31575
1.74719,0.33085
1.74558,0.3233
1.76656,0.34091
1.76494,0.33252
1.7601,0.32749
1.7601,0.32246
1.78592,0.35097
1.78431,0.34259
1.78431,0.33588
1.77947,0.33252
1.7956,0.36104
1.78915,0.32749
1.80529,0.35153
1.79883,0.34426
1.79883,0.33923
1.81497,0.37446
1.81335,0.36607
1.81335,0.35936
1.83272,0.38116
1.83272,0.37446
1.83272,0.36859
1.82788,0.36271
1.8424,0.38787
1.8537,0.39458
1.85208,0.38284
1.84724,0.37613
1.87145,0.39794
1.87145,0.39123
1.86661,0.3862
1.89243,0.40129
1.89081,0.39374
1.88597,0.38955
1.91018,0.40465
1.91018,0.39794
1.92954,0.40465
1.92954,0.39794
1.93922,0.39291
1.9489,0.40465
1.9489,0.39794
1.95859,0.39291
1.96988,0.40465
1.96827,0.3971
1.98925,0.41136
1.98763,0.40297
1.98279,0.39794
2.00861,0.41806
2.007,0.41052
2.00216,0.40632
2.007,0.39961
2.02636,0.42477
2.02636,0.41806
2.02152,0.41303
2.02636,0.39961
2.04734,0.42813
2.04573,0.42058
2.0667,0.43819
2.06509,0.42981
2.06025,0.42477
2.06025,0.41974
2.08607,0.44826
2.08446,0.43987
2.08446,0.43316
2.07961,0.42981
2.09575,0.45832
2.10543,0.44881
2.09898,0.44155
2.09898,0.43484
2.09898,0.42645
2.11512,0.46503
2.1135,0.45664
2.13448,0.46838
2.13287,0.46084
2.12803,0.45664
2.15384,0.47509
2.15223,0.46671
2.14739,0.46167
2.17321,0.4818
2.1716,0.47341
2.1716,0.46754
2.16675,0.46335
2.19257,0.48851
2.19096,0.48012
2.18612,0.47509
2.21032,0.49186
2.21032,0.48516
2.20548,0.48012
2.2313,0.49186
2.22969,0.48432
2.25067,0.49522
2.24905,0.48683
2.24421,0.48348
2.27003,0.50193
2.26842,0.49354
2.26358,0.48851
2.2894,0.50528
2.28778,0.4969
2.28294,0.49354
2.30876,0.51199
2.30715,0.50444
2.30231,0.50025
2.32651,0.5187
2.32651,0.51199
2.32651,0.50528
2.34749,0.52206
2.34588,0.51367
2.34103,0.50864
2.36685,0.53212
2.36524,0.52373
2.3604,0.5187
2.3604,0.51367
2.3846,0.53883
2.3846,0.53212
2.3846,0.52541
2.40397,0.54554
2.40397,0.53883
2.40397,0.53212
2.39913,0.52541
2.39913,0.5187
2.39913,0.51199
2.42495,0.54889
2.42333,0.54051
2.41849,0.53547
2.4427,0.55225
2.4427,0.54554
2.43786,0.54051
2.45399,0.55896
2.46206,0.54973
2.47336,0.56902
2.47174,0.56063
2.47174,0.55476
2.49272,0.57573
2.49111,0.56734
2.49111,0.56147
2.48627,0.55728
2.51209,0.58244
2.51047,0.57405
2.51047,0.56734
2.50563,0.56231
2.52984,0.58915
2.52984,0.58244
2.525,0.57573
2.525,0.56902
2.54113,0.59586
2.55082,0.58635
2.5605,0.60256
2.55888,0.59418
2.56372,0.58747
2.57986,0.60592
2.57825,0.59753
2.57825,0.59166
2.59923,0.61263
2.59761,0.60424
2.59761,0.59837
2.59277,0.59418
2.61698,0.61934
2.61698,0.61263
2.61698,0.60592
2.61698,0.60089
2.62666,0.62605
2.63634,0.61934
2.63634,0.61347
2.6315,0.6076
2.63634,0.60089
2.64764,0.63276
2.64602,0.62437
2.65086,0.61766
2.65086,0.60089
2.667,0.64282
2.66539,0.63443
2.66055,0.6294
2.66055,0.62437
2.68637,0.64953
2.68475,0.64114
2.68475,0.63527
2.70412,0.66295
2.70412,0.65624
2.70412,0.64953
2.70412,0.64366
2.69928,0.63611
2.69928,0.6294
2.72348,0.6663
2.72348,0.65959
2.72348,0.65372
2.73316,0.67301
2.74446,0.67972
2.74446,0.6663
2.738,0.65959
2.76382,0.68978
2.76221,0.6814
2.75737,0.67636
2.75737,0.67133
2.78319,0.69649
2.78157,0.68811
2.77673,0.68307
2.79287,0.70656
2.80255,0.69705
2.7961,0.68978
2.7961,0.68475
2.81224,0.71326
2.81062,0.70488
2.82192,0.72333
2.8316,0.71326
2.82514,0.70656
2.83967,0.73675
2.83967,0.73004
2.83967,0.72333
2.84935,0.74346
2.84451,0.7183
2.85903,0.75016
2.85903,0.73759
2.85903,0.72752
2.86871,0.75687
2.86871,0.74346
2.88001,0.76358
2.88001,0.75072
2.87356,0.73675
2.87356,0.73004
2.88808,0.77365
2.89776,0.78036
2.89776,0.76694
2.89776,0.76107
2.89292,0.7552
2.90744,0.79377
2.90744,0.78706
2.90744,0.77365
2.91874,0.80048
2.91874,0.78036
2.92842,0.79042
2.93649,0.8139
2.93649,0.80719
2.93649,0.80048
2.94779,0.82732
2.94617,0.81893
2.94617,0.79545
2.95585,0.81055
2.95101,0.80384
2.96554,0.83738
2.96554,0.83067
2.96554,0.82396
2.9607,0.81726
2.96554,0.79797
2.97522,0.8508
2.97522,0.84409
2.98651,0.85751
2.98651,0.83738
2.98006,0.83067
2.99458,0.86757
2.99458,0.84745
3.00427,0.88099
3.00427,0.87428
3.00427,0.86087
3.00427,0.85416
3.00427,0.84074
3.00427,0.83403
2.99942,0.82732
3.01556,0.8877
3.01556,0.86757
3.00911,0.84745
3.02363,0.89777
3.02363,0.87764
3.01879,0.85919
3.03331,0.91118
3.03331,0.90447
3.03331,0.89106
3.03331,0.88435
3.02847,0.87261
3.04299,0.9246
3.04299,0.91789
3.04299,0.89777
3.03815,0.87932
3.05429,0.94473
3.05268,0.93634
3.05268,0.92963
3.05268,0.91286
3.04784,0.90447
3.04784,0.89106
3.06236,0.96821
3.06236,0.9615
3.06236,0.95479
3.06236,0.92209
3.07204,0.98834
3.07204,0.98163
3.07204,0.97492
3.07204,0.94808
3.07204,0.94137
3.0672,0.93467
3.0672,0.92796
3.08172,1.0093
3.08172,1.00176
3.08172,0.99505
3.08172,0.96821
3.08172,0.9615
3.08172,0.95479
3.09141,1.04201
3.09141,1.0353
3.09141,1.02859
3.09141,1.02188
3.09141,1.01517
3.09141,0.98834
3.09141,0.98247
3.08656,0.97492
3.10109,1.07556
3.10109,1.06885
3.10109,1.06214
3.10109,1.05543
3.10109,1.04872
3.10109,1.00847
3.10109,1.00176
3.10109,0.99589
3.11077,1.10239
3.11077,1.09568
3.11077,1.08897
3.11077,1.08227
3.11077,1.04201
3.11077,1.0353
3.11077,1.02859
3.11077,1.02188
3.11077,1.01601
3.12207,1.12252
3.12045,1.11413
3.12045,1.10742
3.12207,1.07556
3.12045,1.06717
3.12045,1.06046
3.12045,1.05459
3.11561,1.04872
3.12045,0.99924
3.13175,1.15942
3.13013,1.15103
3.13013,1.14432
3.13013,1.13762
3.13013,1.13091
3.13175,1.09904
3.13013,1.09149
3.12529,1.08562
3.13982,1.1829
3.13982,1.17619
3.13982,1.16948
3.13982,1.12336
3.13498,1.11581
3.13498,1.1091
3.1495,1.18961
3.1495,1.16277
3.1495,1.15607
3.1495,1.14936
3.14466,1.14265
3.14466,1.13594
3.14466,1.12923
3.16079,1.1829
3.15918,1.17452
3.15918,1.16781
3.17048,1.15942
3.16886,1.15103
3.16402,1.14768
3.17855,1.18122
3.17855,1.17452
3.17855,1.16781
3.18016,1.14265
3.17855,1.13426
3.17855,1.12755
3.17855,1.12084
3.18984,1.15942
3.18823,1.15103
3.18984,1.11246
3.18823,1.10407
3.18823,1.09736
3.19307,1.16948
3.19952,1.14265
3.19791,1.13426
3.19791,1.12755
3.19791,1.12084
3.19952,1.08897
3.19791,1.08059
3.19791,1.07388
3.19791,1.06717
3.19791,1.06046
3.19307,1.05711
3.20275,1.15271
3.20921,1.11246
3.20759,1.10407
3.20759,1.09736
3.20921,1.05207
3.20759,1.04369
3.20759,1.03698
3.20759,1.03027
3.20759,1.02356
3.20759,1.01685
3.21243,1.08897
3.21727,1.08059
3.21727,1.07388
3.21727,1.06717
3.21727,1.06046
3.21889,1.00847
3.21727,1.00008
3.21727,0.99337
3.21727,0.98666
3.21727,0.97995
3.22696,1.0504
3.22696,1.04369
3.22696,1.03698
3.22696,1.03027
3.22696,1.02356
3.22696,1.01685
3.22857,0.97157
3.22696,0.96318
3.2318,1.00847
3.23664,1.00176
3.23664,0.99505
3.23664,0.98834
3.23664,0.98163
3.23664,0.95479
3.23664,0.94808
3.23664,0.94137
3.24632,0.97324
3.24632,0.96653
3.24632,0.95982
3.24793,0.93467
3.24632,0.92628
3.24632,0.91957
3.24632,0.91286
3.25116,0.9984
3.256,0.94976
3.256,0.94305
3.25762,0.90447
3.256,0.89609
3.25116,0.89273
3.26084,0.93467
3.26084,0.92796
3.26569,0.91957
3.26569,0.91286
3.2673,0.8877
3.26569,0.87932
3.27537,0.90447
3.27537,0.89777
3.27537,0.87177
3.28505,0.89106
3.28505,0.88435
3.28505,0.87764
3.28505,0.86422
3.29473,0.87093
3.29473,0.85751
3.29473,0.8508
3.29957,0.88435
3.30441,0.87596
3.30603,0.86422
3.30441,0.84661
3.31571,0.85416
3.31571,0.84074
3.3141,0.83403
3.33346,0.85248
3.33346,0.84577
3.33346,0.83906
3.33346,0.83235
3.35283,0.84577
3.35283,0.83906
3.35283,0.83235
3.35283,0.82732
3.37219,0.84074
3.37219,0.83403
3.37219,0.82732
3.37219,0.82229
3.39317,0.84745
3.39155,0.83906
3.39155,0.83235
3.39155,0.82564
3.39155,0.81977
3.41253,0.8508
3.41092,0.84241
3.41092,0.83571
3.41092,0.829
3.40608,0.82396
3.4319,0.85416
3.43028,0.84577
3.43028,0.83906
3.43028,0.83319
3.42544,0.829
3.44965,0.85751
3.44965,0.8508
3.44965,0.84409
3.44965,0.83738
3.44481,0.83235
3.46094,0.86422
3.47063,0.85416
3.46901,0.84577
3.46417,0.84074
3.46417,0.83571
3.48031,0.87093
3.47869,0.86254
3.48999,0.85416
3.48354,0.84745
3.49806,0.87764
3.49806,0.87093
3.49806,0.86422
3.50935,0.88435
3.50935,0.85807
3.5029,0.85248
3.51904,0.87428
3.51742,0.8659
3.52711,0.89777
3.52711,0.89106
3.52711,0.88435
3.52226,0.85919
3.5384,0.90447
3.5384,0.87764
3.53195,0.87093
3.53195,0.86422
3.54808,0.91454
3.54808,0.89441
3.54647,0.88602
3.55777,0.90447
3.56583,0.92125
3.56583,0.91454
3.56583,0.89441
3.56099,0.88938
3.57552,0.93467
3.57552,0.92796
3.57552,0.90783
3.57552,0.90112
3.5852,0.94137
3.5852,0.92125
3.5852,0.91454
3.5852,0.89525
3.59649,0.94808
3.59649,0.93467
3.59488,0.92628
3.59649,0.90783
3.59488,0.89944
3.59488,0.89106
3.60456,0.97157
3.60456,0.96486
3.60456,0.95815
3.60456,0.91789
3.61586,0.95144
3.61424,0.94305
3.61424,0.93634
3.61424,0.92963
3.61424,0.92292
3.61424,0.9137
3.62554,0.97492
3.62393,0.96653
3.62393,0.95982
3.63361,0.95144
3.63361,0.94473
3.63361,0.93802
3.63361,0.93131
3.63361,0.9246
3.63361,0.91957
3.64329,0.97827
3.64329,0.97157
3.64329,0.96486
3.64329,0.95815
3.65459,0.95144
3.65297,0.94305
3.65297,0.93634
3.65297,0.92963
3.65297,0.92292
3.64813,0.91957
3.66266,0.97492
3.66266,0.96821
3.66266,0.9615
3.67395,0.95479
3.67234,0.94641
3.67234,0.9397
3.67234,0.93299
3.67234,0.92628
3.67234,0.91957
3.67234,0.91454
3.67718,0.97157
3.68202,0.96486
3.68686,0.95815
3.6917,0.94976
3.6917,0.94305
3.6917,0.93634
3.6917,0.92963
3.6917,0.92292
3.6917,0.91622
3.68686,0.91286
3.71107,0.9397
3.71107,0.93299
3.71107,0.92628
3.71107,0.91957
3.71107,0.91286
3.71107,0.90615
3.72236,0.89888
3.72559,0.93467
3.73043,0.92796
3.73043,0.92125
3.73043,0.91454
3.73043,0.90783
3.74173,0.90112
3.74011,0.89273
3.7498,0.92292
3.7498,0.91622
3.7498,0.90951
3.76109,0.90112
3.75948,0.89273
3.75948,0.8877
3.76916,0.91789
3.76916,0.91118
3.77884,0.90447
3.77884,0.89777
3.77884,0.89106
3.77884,0.88435
3.78852,0.91622
3.78852,0.90951
3.78852,0.88015
3.79982,0.90112
3.79821,0.89273
3.79821,0.88602
3.79982,0.87484
3.8095,0.91789
3.80789,0.90951
3.81757,0.90112
3.81757,0.89441
3.81757,0.8877
3.81757,0.88099
3.81757,0.87428
3.82725,0.91957
3.82725,0.91286
3.82725,0.90615
3.82887,0.86869
3.83694,0.89777
3.83694,0.89106
3.83694,0.88435
3.83694,0.87764
3.84662,0.91118
3.84662,0.90447
3.84662,0.87093
3.84662,0.86422
3.8563,0.91789
3.8563,0.89777
3.8563,0.89106
3.8563,0.88435
3.8563,0.87764
3.86598,0.93131
3.86598,0.9246
3.86598,0.91118
3.86598,0.90447
3.86114,0.87093
3.86114,0.8659
3.87566,0.91789
3.87566,0.89777
3.87566,0.89106
3.87566,0.88519
3.87082,0.87764
3.88535,0.93131
3.88535,0.9246
3.88535,0.91118
3.88535,0.90447
3.89664,0.91789
3.89664,0.89777
3.89503,0.89106
3.90471,0.93299
3.90471,0.92628
3.90632,0.90783
3.89987,0.88267
3.91601,0.91789
3.91601,0.89777
3.90955,0.89273
3.92408,0.92796
3.92408,0.90783
3.93537,0.92125
3.93376,0.91286
3.93537,0.90112
3.92892,0.89441
3.94505,0.93131
3.95312,0.92125
3.95312,0.91454
3.95312,0.90783
3.95312,0.90112
3.95312,0.89609
3.9628,0.93299
3.9628,0.92628
3.97249,0.91789
3.97249,0.91118
3.97249,0.90447
3.98378,0.93131
3.98217,0.92292
3.99346,0.91454
3.98701,0.90783
4.00315,0.93802
4.00153,0.92963
4.00153,0.92292
4.01122,0.91705
4.0209,0.94473
4.0209,0.93802
4.0209,0.93131
4.0209,0.9246
4.02574,0.91957
4.04188,0.94808
4.04026,0.9397
4.04026,0.93299
4.04026,0.92712
4.06124,0.95479
4.05963,0.94641
4.05963,0.9397
4.05963,0.93383
4.05479,0.92796
4.07899,0.95647
4.07899,0.94976
4.07899,0.94305
4.07899,0.93718
4.09997,0.95479
4.09836,0.94641
4.09836,0.9397
4.09351,0.93634
4.11772,0.95815
4.11772,0.95144
4.11772,0.94473
4.11772,0.93802
4.12902,0.96486
4.13708,0.95479
4.13708,0.94808
4.13708,0.94221
4.14677,0.96821
4.14677,0.9615
4.15645,0.95479
4.15645,0.94808
4.16613,0.96821
4.16613,0.9615
4.17581,0.95479
4.17581,0.94976
4.1855,0.96821
4.1855,0.9615
4.19679,0.97492
4.19679,0.95479
4.19518,0.94808
4.20486,0.96486
4.21454,0.97827
4.21454,0.97157
4.21454,0.95899
4.2097,0.95312
4.22422,0.96486
4.23391,0.97827
4.23391,0.97157
4.23391,0.95982
4.24359,0.96486
4.25327,0.97827
4.25327,0.97157
4.25327,0.95982
4.26457,0.96542
4.27264,0.98163
4.27264,0.97492
4.28232,0.96821
4.27748,0.96318
4.292,0.98834
4.292,0.98163
4.292,0.97492
4.30168,0.97157
4.31136,0.99169
4.31136,0.98498
4.31136,0.97827
4.31621,0.97324
4.33234,0.99169
4.33073,0.98331
4.33073,0.97744
4.35009,0.9984
4.35009,0.99169
4.35009,0.98498
4.35009,0.97995
4.36946,1.00176
4.36946,0.99505
4.36946,0.98834
4.37914,1.00847
4.39044,1.00176
4.38882,0.99421
4.38398,0.98834
4.40012,1.01182
4.40819,1.00176
4.40819,0.99505
4.41787,1.01517
4.41787,1.00847
4.42916,1.00176
4.42271,0.99672
4.43885,1.01853
4.43723,1.01014
4.44692,1.00176
4.44207,0.99672
4.4566,1.02188
4.4566,1.01517
4.4566,1.00847
4.46628,1.00092
4.47758,1.02524
4.47596,1.01685
4.47596,1.01098
4.47112,1.00679
4.4808,1.00008
4.49694,1.03195
4.49533,1.02356
4.49533,1.01685
4.50017,1.01014
4.5163,1.0353
4.51469,1.02692
4.51469,1.02104
4.50985,1.01685
4.53567,1.03866
4.53405,1.03027
4.52921,1.02524
4.55503,1.04537
4.55342,1.03698
4.55342,1.03027
4.54858,1.02692
4.5744,1.05207
4.57278,1.04369
4.56794,1.03866
4.56794,1.03362
4.59215,1.05878
4.59215,1.05207
4.59215,1.04537
4.58731,1.04033
4.61313,1.06214
4.61151,1.05375
4.61151,1.04788
4.60667,1.04369
4.63249,1.06885
4.63088,1.06046
4.63088,1.05375
4.62604,1.0504
4.65186,1.0722
4.65024,1.06382
4.65024,1.05794
4.6454,1.05207
4.66961,1.07891
4.66961,1.0722
4.66961,1.06549
4.66476,1.06046
4.6809,1.08562
4.69058,1.07612
4.68413,1.07052
4.70027,1.09233
4.69865,1.08394
4.70833,1.07891
4.71963,1.09904
4.71802,1.09065
4.71802,1.08478
4.739,1.1091
4.73738,1.10072
4.73738,1.09484
4.73254,1.08897
4.74868,1.11917
4.75675,1.1091
4.75675,1.10239
4.76804,1.12252
4.76643,1.11413
4.77611,1.10742
4.78579,1.13258
4.78579,1.12587
4.78579,1.11917
4.78579,1.11246
4.79709,1.13929
4.80516,1.12923
4.80516,1.12252
4.80516,1.11581
4.80516,1.10994
4.81484,1.15607
4.81484,1.14936
4.81484,1.14265
4.81484,1.13594
4.81968,1.13091
4.83582,1.16277
4.8342,1.15439
4.8342,1.14768
4.82936,1.14265
4.82936,1.13594
4.85357,1.17619
4.85357,1.16948
4.85357,1.16277
4.85357,1.15607
4.84873,1.15103
4.86325,1.1829
4.87293,1.17619
4.87293,1.17032
4.86809,1.16277
4.88261,1.18961
4.88261,1.1829
4.89391,1.19632
4.8923,1.17787
4.90359,1.18626
4.91327,1.20303
4.91166,1.19464
4.92134,1.18709
4.93103,1.20638
4.93103,1.19967
4.93103,1.19297
4.94071,1.18793
4.952,1.20638
4.95039,1.198
4.95039,1.19129
4.96975,1.20806
4.96975,1.20135
4.96975,1.19464
4.96975,1.18961
4.98912,1.20303
4.98912,1.19632
4.98912,1.18961
4.9988,1.18374
5.00364,1.20303
5.00848,1.19632
5.00848,1.18961
5.01978,1.1829
5.02785,1.19297
5.03753,1.18626
5.03753,1.17955
5.03753,1.17368
5.05689,1.1829
5.05689,1.17619
5.05689,1.17032
5.07626,1.17955
5.07626,1.17284
5.07626,1.16613
5.09562,1.17452
5.09562,1.16781
5.09562,1.16194
5.11499,1.17284
5.11499,1.16613
5.11499,1.15942
5.11015,1.15439
5.13435,1.17284
5.13435,1.16613
5.13435,1.15942
5.14403,1.15439
5.15372,1.17284
5.15372,1.16613
5.15372,1.15942
5.1634,1.15439
5.17308,1.17284
5.17308,1.16613
5.17308,1.15942
5.18276,1.15439
5.19406,1.17284
5.19245,1.16445
5.19245,1.15774
5.21342,1.17619
5.21181,1.16781
5.21181,1.16194
5.20697,1.15774
5.23117,1.17955
5.23117,1.17284
5.23117,1.16613
5.23117,1.1611
5.25054,1.17955
5.25054,1.17284
5.25054,1.16613
5.2699,1.1829
5.2699,1.17619
5.2699,1.16948
5.26506,1.16445
5.28927,1.18626
5.28927,1.17955
5.28927,1.17284
5.28443,1.16781
5.31025,1.18626
5.30863,1.17787
5.30863,1.172
5.328,1.18961
5.328,1.1829
5.328,1.17619
5.328,1.17116
5.34897,1.19297
5.34736,1.18458
5.34736,1.17871
5.34252,1.17452
5.36673,1.19632
5.36673,1.18961
5.36673,1.1829
5.36188,1.17787
5.3877,1.19632
5.38609,1.18793
5.38609,1.18122
5.40545,1.20638
5.40545,1.19967
5.40545,1.19297
5.40545,1.18626
5.40061,1.17955
5.40061,1.17452
5.42482,1.20638
5.42482,1.19967
5.42482,1.19297
5.41998,1.18793
5.4458,1.20638
5.44418,1.198
5.43934,1.19297
5.46516,1.20974
5.46355,1.20135
5.46355,1.19548
5.48453,1.21645
5.48291,1.20806
5.48291,1.20135
5.48291,1.19548
5.50389,1.22316
5.50228,1.21477
5.50228,1.20806
5.49743,1.20303
5.50228,1.19548
5.52164,1.22987
5.52164,1.22316
5.52164,1.21645
5.52164,1.20974
5.54262,1.22987
5.541,1.22148
5.541,1.21477
5.53616,1.21142
5.56037,1.23322
5.56037,1.22651
5.56037,1.2198
5.55553,1.21477
5.57973,1.23657
5.57973,1.22987
5.57973,1.22316
5.57489,1.21812
5.5991,1.23993
5.5991,1.23322
5.5991,1.22651
5.5991,1.22148
5.61846,1.23993
5.61846,1.23322
5.61846,1.22651
5.61846,1.22148
5.63783,1.23993
5.63783,1.23406
5.63299,1.22819
5.65719,1.23993
5.65235,1.2349
5.67656,1.24161
5.69592,1.23993
5.70076,1.2349
5.71044,1.23993
5.73465,1.28186
5.75401,1.28522
5.79274,1.29192
5.79274,1.28354
5.81211,1.29528
5.81211,1.2827
5.83147,1.30115
5.83147,1.2936
5.83147,1.28689
5.84115,1.2827
5.84599,1.29863
5.8702,1.30367
5.8702,1.29696
5.8702,1.29025
5.8702,1.28354
5.88956,1.3045
5.90893,1.3045
5.91861,1.29696
5.92345,1.30367
5.95895,1.29752
5.9767,1.3045
5.99607,1.30534
6.01059,1.30199
